First Name,Last Name,Salary,Position,Team,Division
Kobe,Bryant,27849149,SG,LA Lakers,Pacific
Carmelo,Anthony,20463024,SF,NY Knicks,Atlantic
Amar'e,Stoudemire,19948799,PF,NY Knicks,Atlantic
Dwight,Howard,19536360,C,LA Lakers,Pacific
Pau,Gasol,19000000,PF,LA Lakers,Pacific
Chris,Bosh,17545000,C,Miami Heat,Southeast
LeBron,James,17545000,SG,Miami Heat,Southeast
Dwyane,Wade,17182000,PG,Miami Heat,Southeast
Kevin,Durant,16669630,SF,Oklahoma Thunder,Northwest
Derrick,Rose,16402552,PG,Chicago Bulls,Central
Carlos,Boozer,15000000,C,Chicago Bulls,Central
Manu,Ginobili,14107492,SG,San Antonio Spurs,Southeast
Russell,Westbrook,13668750,PG,Oklahoma Thunder,Northwest
Tyson,Chandler,13604188,C,NY Knicks,Atlantic
Luol,Deng,13305000,SF,Chicago Bulls,Central
Tony,Parker,12500000,PG,San Antonio Spurs,Southeast
Joakim,Noah,11300000,C,Chicago Bulls,Central
Stephen,Jackson,10059750,SF,San Antonio Spurs,Southeast
Tim,Duncan,9638554,C,San Antonio Spurs,Southeast
Steve,Nash,8900000,PG,LA Lakers,Pacific
Kendrick,Perkins,8300531,C,Oklahoma Thunder,Northwest
Metta,Peace,7258960,SF,LA Lakers,Pacific
James,Harden,5820417,SG,Oklahoma Thunder,Northwest
Mike,Miller,5800000,PF,Miami Heat,Southeast
Richard,Hamilton,5000000,SG,Chicago Bulls,Central
Marcus,Camby,4590338,C,NY Knicks,Atlantic
Boris,Diaw,4500000,PF,San Antonio Spurs,Southeast
Udonis,Haslem,4060000,PF,Miami Heat,Southeast
Steve,Novak,4054055,SF,NY Knicks,Atlantic
Steve,Blake,4000000,PG,LA Lakers,Pacific
Mario,Chalmers,4000000,PG,Miami Heat,Southeast
Tiago,Splitter,3944000,C,San Antonio Spurs,Southeast
Kirk,Hinrich,3941000,PG,Chicago Bulls,Central
Joel,Anthony,3750000,C,Miami Heat,Southeast
Matt,Bonner,3630000,PF,San Antonio Spurs,Southeast
Thabo,Sefolosha,3600000,SG,Oklahoma Thunder,Northwest
Jordan,Hill,3563600,PF,LA Lakers,Pacific
Chris,Duhon,3500000,PG,LA Lakers,Pacific
Danny,Green,3500000,SG,San Antonio Spurs,Southeast
Raymond,Felton,3480453,PG,NY Knicks,Atlantic
Shane,Battier,3135000,SF,Miami Heat,Southeast
Daequan,Cook,3090942,PG,Oklahoma Thunder,Northwest
Ray,Allen,3090000,SG,Miami Heat,Southeast
Jason,Kidd,3090000,PG,NY Knicks,Atlantic
Nick,Collison,2929332,PF,Oklahoma Thunder,Northwest
JR,Smith,2806452,SG,NY Knicks,Atlantic
Cole,Aldrich,2445480,C,Oklahoma Thunder,Northwest
Eric,Maynor,2338721,PG,Oklahoma Thunder,Northwest
Serge,Ibaka,2253062,C,Oklahoma Thunder,Northwest
Taj,Gibson,2155811,PF,Chicago Bulls,Central
Marco,Belinelli,1957000,SG,Chicago Bulls,Central
Kawhi,Leonard,1809840,SF,San Antonio Spurs,Southeast
Iman,Shumpert,1633440,SG,NY Knicks,Atlantic
Jodie,Meeks,1500000,SG,LA Lakers,Pacific
James,Jones,1500000,SF,Miami Heat,Southeast
Nando,DeColo,1400000,PG,San Antonio Spurs,Southeast
Rashard,Lewis,1352181,PF,Miami Heat,Southeast
Kurt,Thomas,1352181,C,NY Knicks,Atlantic
Earl,Clark,1240000,PF,LA Lakers,Pacific
Reggie,Jackson,1208400,SG,Oklahoma Thunder,Northwest
Hasheem,Thabeet,1200000,C,Oklahoma Thunder,Northwest
Lazar,Hayward,1174080,SF,Oklahoma Thunder,Northwest
Patty,Mills,1085120,PG,San Antonio Spurs,Southeast
Norris,Cole,1082520,PG,Miami Heat,Southeast
Cory,Joseph,1074720,SG,San Antonio Spurs,Southeast
Jimmy,Butler,1066920,SG,Chicago Bulls,Central
Devin,Ebanks,1054389,PF,LA Lakers,Pacific
DeJuan,Blair,1054000,C,San Antonio Spurs,Southeast
Darius,Morris,962195,SG,LA Lakers,Pacific
Marcus,Teague,857000,SG,Chicago Bulls,Central
Nazr,Mohammed,854389,C,Chicago Bulls,Central
Vladimir,Radmanovic,854389,PF,Chicago Bulls,Central
Nate,Robinson,854389,PG,Chicago Bulls,Central
Antawn,Jamison,854389,PF,LA Lakers,Pacific
Rodney,Carney,854389,PF,Miami Heat,Southeast
Dexter,Pittman,854389,C,Miami Heat,Southeast
Garrett,Temple,854389,SG,Miami Heat,Southeast
Ronnie,Brewer,854389,SG,NY Knicks,Atlantic
James,White,854389,SF,NY Knicks,Atlantic
Josh,Harrellson,762195,PF,Miami Heat,Southeast
Chris,Copeland,473604,SF,NY Knicks,Atlantic
Pablo,Prigioni,473604,PG,NY Knicks,Atlantic
